checkpoint,optimizer_steps,examples_seen,task,condition,samples,pairs,sample_preference_accuracy,paired_preference_accuracy,mean_correct_margin,median_correct_margin,mean_correct_token_nll,mean_counterfactual_token_nll
step-001500,1500,12000,shape,background_matched_aux,400,200,0.5525,0.105,0.17140622258186342,0.09375,3.0571953740715982,3.2286015966534616
step-001500,1500,12000,spatial,background_matched_aux,400,200,0.5,0.0,0.0067484453320503235,-0.0625,2.4128459580242634,2.4195944033563137
step-002000,2000,16000,overall,vision,2400,1200,0.4920833333333333,0.0,0.008085266179508633,0.0,4.014521114443503,4.022606380623011
step-002000,2000,16000,color,vision,400,200,0.4825,0.0,0.0062500017881393435,0.0,3.0446010458469392,3.0508510476350783
step-002000,2000,16000,coordinate,vision,400,200,0.5,0.0,0.0014640891551971436,-0.006907939910888672,6.516153087615967,6.517617176771164
step-002000,2000,16000,count,vision,400,200,0.4725,0.0,0.0031249982118606565,0.0,1.324232974946499,1.3273579731583596
step-002000,2000,16000,ocr,vision,400,200,0.4975,0.0,-0.007258511622746786,-0.024301497141519857,6.944831136851084,6.937572625228337
step-002000,2000,16000,shape,vision,400,200,0.5,0.0,0.04468751966953278,0.09375,3.712469670176506,3.7571571898460387
step-002000,2000,16000,spatial,vision,400,200,0.5,0.0,0.00024349987506866455,0.0009739398956298828,2.544838771224022,2.5450822710990906
step-002000,2000,16000,overall,blind,2400,1200,0.4979166666666667,0.0,0.0,0.0,10.398102144318914,10.398102144318914
step-002000,2000,16000,color,blind,400,200,0.5,0.0,0.0,0.0,12.21103588104248,12.21103588104248
step-002000,2000,16000,coordinate,blind,400,200,0.5,0.0,0.0,0.0,12.75480099439621,12.75480099439621
step-002000,2000,16000,count,blind,400,200,0.4875,0.0,0.0,0.0,4.198449039459229,4.198449039459229
step-002000,2000,16000,ocr,blind,400,200,0.5,0.0,0.0,0.0,9.212698685634704,9.212698685634704
step-002000,2000,16000,shape,blind,400,200,0.5,0.0,0.0,0.0,10.13686954498291,10.13686954498291
step-002000,2000,16000,spatial,blind,400,200,0.5,0.0,0.0,0.0,13.87475872039795,13.87475872039795
step-002000,2000,16000,overall,blank,2400,1200,0.495,0.0,0.0,0.0,4.2686775888930715,4.2686775888930715
step-002000,2000,16000,color,blank,400,200,0.5,0.0,0.0,0.0,3.8015982246398927,3.8015982246398927
step-002000,2000,16000,coordinate,blank,400,200,0.5,0.0,0.0,0.0,6.343761590719223,6.343761590719223
step-002000,2000,16000,count,blank,400,200,0.47,0.0,0.0,0.0,1.3056882806122303,1.3056882806122303
step-002000,2000,16000,ocr,blank,400,200,0.5,0.0,0.0,0.0,7.120789379585357,7.120789379585357
step-002000,2000,16000,shape,blank,400,200,0.5,0.0,0.0,0.0,4.29987606048584,4.29987606048584
step-002000,2000,16000,spatial,blank,400,200,0.5,0.0,0.0,0.0,2.7403519973158836,2.7403519973158836
step-002000,2000,16000,overall,same_image,2400,1200,0.49625,0.0,0.0,0.0,3.9819027570117087,3.9819027570117087
step-002000,2000,16000,color,same_image,400,200,0.5,0.0,0.0,0.0,3.1753131103515626,3.1753131103515626
step-002000,2000,16000,coordinate,same_image,400,200,0.5,0.0,0.0,0.0,6.098845024108886,6.098845024108886
step-002000,2000,16000,count,same_image,400,200,0.4775,0.0,0.0,0.0,1.3005045461654663,1.3005045461654663
step-002000,2000,16000,ocr,same_image,400,200,0.5,0.0,0.0,0.0,6.87596847309385,6.87596847309385
step-002000,2000,16000,shape,same_image,400,200,0.5,0.0,0.0,0.0,3.882258902192116,3.882258902192116
step-002000,2000,16000,spatial,same_image,400,200,0.5,0.0,0.0,0.0,2.558526486158371,2.558526486158371
step-002000,2000,16000,overall,shuffled_image,2400,1200,0.495,0.0016666666666666668,-0.0013049340903285944,0.0,4.0216501714376705,4.020345237347342
step-002000,2000,16000,color,shuffled_image,400,200,0.4925,0.0,-0.003437500596046448,0.0,3.0480385476350786,3.044601047039032
step-002000,2000,16000,coordinate,shuffled_image,400,200,0.5025,0.01,-0.0009780120849609375,0.016973257064819336,6.518119193315506,6.517141181230545
step-002000,2000,16000,count,shuffled_image,400,200,0.475,0.0,-0.0007812482118606567,0.0,1.3265767213702202,1.3257954731583594
step-002000,2000,16000,ocr,shuffled_image,400,200,0.5,0.0,0.0005043998899914004,-0.008867661158243667,6.944666142963228,6.945170542853219
step-002000,2000,16000,shape,shuffled_image,400,200,0.5,0.0,-0.0010937541723251344,0.0,3.7473134380578994,3.7462196838855744
step-002000,2000,16000,spatial,shuffled_image,400,200,0.5,0.0,-0.0020434893667697906,0.031407326459884644,2.54518698528409,2.5431434959173203
step-002000,2000,16000,overall,patch_permutation,2400,1200,0.5025,0.0275,0.007855908369142857,0.015310287475585938,4.004599043825671,4.012454952194814
step-002000,2000,16000,color,patch_permutation,400,200,0.5275,0.075,0.008906250894069672,0.0625,2.9145862993597986,2.9234925502538682
step-002000,2000,16000,coordinate,patch_permutation,400,200,0.495,0.015,0.017660661935806274,-0.024480581283569336,6.465496956110001,6.483157618045807
step-002000,2000,16000,count,patch_permutation,400,200,0.485,0.0,0.005,0.0,1.274188644438982,1.279188644438982
step-002000,2000,16000,ocr,patch_permutation,400,200,0.4975,0.01,-0.015793195917492824,-0.012148380279541016,6.851244688999085,6.835451493081592
step-002000,2000,16000,shape,patch_permutation,400,200,0.5,0.0,0.03593749970197677,-0.09375,3.849695143699646,3.885632643401623
step-002000,2000,16000,spatial,patch_permutation,400,200,0.51,0.065,-0.004575766399502754,0.013497352600097656,2.6723825303465127,2.66780676394701
step-002000,2000,16000,overall,paired_counterfactual_image,2400,1200,0.4945833333333333,0.0008333333333333334,-0.008085266179508633,0.0,4.022606380623011,4.014521114443503
step-002000,2000,16000,color,paired_counterfactual_image,400,200,0.495,0.0,-0.0062500017881393435,0.0,3.0508510476350783,3.0446010458469392
step-002000,2000,16000,coordinate,paired_counterfactual_image,400,200,0.5,0.0,-0.0014640891551971436,0.006907939910888672,6.517617176771164,6.516153087615967
step-002000,2000,16000,count,paired_counterfactual_image,400,200,0.47,0.0,-0.0031249982118606565,0.0,1.3273579731583596,1.324232974946499
step-002000,2000,16000,ocr,paired_counterfactual_image,400,200,0.5025,0.005,0.007258511622746786,0.024301497141519857,6.937572625228337,6.944831136851084
step-002000,2000,16000,shape,paired_counterfactual_image,400,200,0.5,0.0,-0.04468751966953278,-0.09375,3.7571571898460387,3.712469670176506
step-002000,2000,16000,spatial,paired_counterfactual_image,400,200,0.5,0.0,-0.00024349987506866455,-0.0009739398956298828,2.5450822710990906,2.544838771224022
step-002000,2000,16000,overall,background_matched_aux,2400,1200,0.49,0.0008333333333333334,-0.002892296482173223,0.0,4.003557835894681,4.000665539412508
step-002000,2000,16000,color,background_matched_aux,400,200,0.4675,0.0,-0.00625,0.0,2.9952646142244337,2.989014614224434
step-002000,2000,16000,coordinate,background_matched_aux,400,200,0.5,0.0,0.009761320352554321,0.021319150924682617,6.45156777381897,6.461329094171524
step-002000,2000,16000,count,background_matched_aux,400,200,0.47,0.0,0.0014062555134296418,0.0,1.3299293960630894,1.3313356515765191
step-002000,2000,16000,ocr,background_matched_aux,400,200,0.5025,0.005,-0.0005748928728557767,0.02607491811116569,6.970577346699579,6.970002453826722
step-002000,2000,16000,shape,background_matched_aux,400,200,0.5,0.0,0.0026562637090682983,0.0625,3.7373012357950213,3.739957499504089
step-002000,2000,16000,spatial,background_matched_aux,400,200,0.5,0.0,-0.024352725595235825,-0.06249997019767761,2.5367066487669945,2.5123539231717587
